person_id,first_name,last_name,display_first_last,display_last_comma_first,display_fi_last,player_slug,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,position,rosterstatus,games_played_current_season_flag,team_id,team_name,team_abbreviation,team_code,team_city,playercode,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag,is_active
201582,Alexis,Ajinca,Alexis Ajinca,"Ajinca, Alexis",A. Ajinca,alexis-ajinca,6/5/1988,Hyeres-Toulon,France,Hyeres-Toulon/France,7-Feb,248.0,8,42,Center,Inactive,N,1610612740,Pelicans,NOP,pelicans,New Orleans,alexis_ajinca,2008.0,2017.0,Y,Y,Y,2008,1,20,N,0
76018,Henry,Akin,Henry Akin,"Akin, Henry",H. Akin,henry-akin,31/7/1944,Morehead State,USA,Morehead State/USA,6-Oct,225.0,2,10,Center,Inactive,N,1610612752,Knicks,NYK,knicks,New York,HISTADD_henry_akin,1966.0,1967.0,N,Y,Y,1966,2,11,N,0
203006,Josh,Akognon,Josh Akognon,"Akognon, Josh",J. Akognon,josh-akognon,10/2/1986,California State-Fullerton,USA,California State-Fullerton/USA,5-Nov,185.0,2,10,Guard,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,josh_akognon,2012.0,2012.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,0
1629152,DeVaughn,Akoon-Purcell,DeVaughn Akoon-Purcell,"Akoon-Purcell, DeVaughn",D. Akoon-Purcell,devaughn-akoon-purcell,5/6/1993,Illinois State,Trinidad and Tobago,Illinois State/Trinidad and Tobago,6-Jun,200.0,2,,Guard-Forward,Inactive,N,0,,,,,devaughn_akoon-purcell,2018.0,2018.0,Y,Y,Y,2016,,,N,0
202374,Solomon,Alabi,Solomon Alabi,"Alabi, Solomon",S. Alabi,solomon-alabi,21/3/1988,Florida State,Nigeria,Florida State/Nigeria,7-Jan,252.0,3,50,Center,Inactive,N,1610612761,Raptors,TOR,raptors,Toronto,solomon_alabi,2010.0,2011.0,Y,Y,Y,2010,2,50,N,0
76019,Mark,Alarie,Mark Alarie,"Alarie, Mark",M. Alarie,mark-alarie,11/12/1963,Duke,USA,Duke/USA,6-Aug,217.0,5,31,Forward,Inactive,N,1610612764,Bullets,WAS,wizards,Washington,HISTADD_mark_alarie,1986.0,1990.0,N,Y,Y,1986,1,18,N,0
76020,Gary,Alcorn,Gary Alcorn,"Alcorn, Gary",G. Alcorn,gary-alcorn,8/10/1936,Fresno State,USA,Fresno State/USA,6-Sep,225.0,2,24,Center,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,HISTADD_gary_alcorn,1959.0,1960.0,N,Y,Y,1959,3,16,N,0
1630583,Santi,Aldama,Santi Aldama,"Aldama, Santi",S. Aldama,santi-aldama,10/1/2001,Loyola-Maryland,Spain,Loyola-Maryland/Spain,7-0,215.0,2,7,Forward-Center,Active,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,santi_aldama,2021.0,2023.0,Y,Y,Y,2021,1,30,N,1
203128,Furkan,Aldemir,Furkan Aldemir,"Aldemir, Furkan",F. Aldemir,furkan-aldemir,9/8/1991,Galatasaray,Turkey,Galatasaray/Turkey,6-Oct,240.0,2,19,Forward-Center,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,furkan_aldemir,2014.0,2014.0,N,Y,Y,2012,2,53,N,0
202332,Cole,Aldrich,Cole Aldrich,"Aldrich, Cole",C. Aldrich,cole-aldrich,31/10/1988,Kansas,USA,Kansas/USA,6-Nov,253.0,9,45,Center,Inactive,N,1610612752,Knicks,NYK,knicks,New York,cole_aldrich,2010.0,2017.0,Y,Y,Y,2010,1,11,N,0
200746,LaMarcus,Aldridge,LaMarcus Aldridge,"Aldridge, LaMarcus",L. Aldridge,lamarcus-aldridge,19/7/1985,University of Texas at Austin,USA,Texas-Austin/USA,6-Nov,250.0,17,21,Center-Forward,Inactive,N,1610612751,Nets,BKN,nets,Brooklyn,lamarcus_aldridge,2006.0,2021.0,N,Y,Y,2006,1,2,N,0
1626146,Cliff,Alexander,Cliff Alexander,"Alexander, Cliff",C. Alexander,cliff-alexander,16/11/1995,Kansas,USA,Kansas/USA,6-Aug,240.0,2,34,Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,cliff_alexander,2015.0,2015.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,0
724,Cory,Alexander,Cory Alexander,"Alexander, Cory",C. Alexander,cory-alexander,22/6/1973,Virginia,USA,Virginia/USA,6-Jan,190.0,8,12,Guard,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,cory_alexander,1995.0,2004.0,N,Y,Y,1995,1,29,N,0
201570,Joe,Alexander,Joe Alexander,"Alexander, Joe",J. Alexander,joe-alexander,26/12/1986,West Virginia,USA,West Virginia/USA,6-Aug,230.0,3,20,Forward,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,joe_alexander,2008.0,2009.0,Y,Y,Y,2008,1,8,N,0
1629734,Kyle,Alexander,Kyle Alexander,"Alexander, Kyle",K. Alexander,kyle-alexander,21/10/1996,Tennessee,Canada,Tennessee/Canada,6-Oct,216.0,2,17,Forward-Center,Inactive,N,1610612748,Heat,MIA,heat,Miami,kyle_alexander,2019.0,2019.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,0
1630234,Ty-Shon,Alexander,Ty-Shon Alexander,"Alexander, Ty-Shon",T. Alexander,ty-shon-alexander,16/7/1998,Creighton,USA,Creighton/USA,6-Mar,195.0,2,0,Guard,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,ty-shon_alexander,2020.0,2020.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,0
2349,Victor,Alexander,Victor Alexander,"Alexander, Victor",V. Alexander,victor-alexander,31/8/1969,Iowa State,USA,Iowa State/USA,6-Oct,265.0,5,9,Forward,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,victor_alexander,1991.0,2001.0,N,Y,Y,1991,1,17,N,0
1629638,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,"Alexander-Walker, Nickeil",N. Alexander-Walker,nickeil-alexander-walker,2/9/1998,Virginia Tech,Canada,Virginia Tech/Canada,6-May,205.0,4,9,Guard,Active,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,nickeil_alexander-walker,2019.0,2023.0,Y,Y,Y,2019,1,17,N,1
76024,Steve,Alford,Steve Alford,"Alford, Steve",S. Alford,steve-alford,23/11/1964,Indiana,USA,Indiana/USA,6-Feb,183.0,4,4,Guard,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_steve_alford,1987.0,1990.0,N,Y,Y,1987,2,26,N,0
1628959,Rawle,Alkins,Rawle Alkins,"Alkins, Rawle",R. Alkins,rawle-alkins,29/10/1997,Arizona,USA,Arizona/USA,6-May,225.0,2,20,Guard,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,rawle_alkins,2018.0,2018.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,0
76028,Bob,Allen,Bob Allen,"Allen, Bob",B. Allen,bob-allen,17/7/1946,Marshall,USA,Marshall/USA,6-Sep,205.0,1,50,Forward,Inactive,N,1610612744,Warriors,SFW,warriors,San Francisco,HISTADD_bob_allen,1968.0,1968.0,N,Y,Y,1968,6,71,N,0
1628960,Grayson,Allen,Grayson Allen,"Allen, Grayson",G. Allen,grayson-allen,8/10/1995,Duke,USA,Duke/USA,6-Apr,198.0,5,12,Guard,Active,N,1610612749,Bucks,MIL,bucks,Milwaukee,grayson_allen,2018.0,2023.0,Y,Y,Y,2018,1,21,N,1
1628386,Jarrett,Allen,Jarrett Allen,"Allen, Jarrett",J. Allen,jarrett-allen,21/4/1998,Texas,USA,Texas/USA,6-Sep,243.0,6,31,Center,Active,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,jarrett_allen,2017.0,2023.0,N,Y,Y,2017,1,22,N,1
1628443,Kadeem,Allen,Kadeem Allen,"Allen, Kadeem",K. Allen,kadeem-allen,15/1/1993,Arizona,USA,Arizona/USA,6-Jan,200.0,3,,Guard,Inactive,N,0,,,,,kadeem_allen,2017.0,2019.0,Y,Y,Y,2017,2,53,N,0
202730,Lavoy,Allen,Lavoy Allen,"Allen, Lavoy",L. Allen,lavoy-allen,4/2/1989,Temple,USA,Temple/USA,6-Sep,260.0,7,5,Forward-Center,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,lavoy_allen,2011.0,2016.0,Y,Y,Y,2011,2,50,N,0
76027,Lucius,Allen,Lucius Allen,"Allen, Lucius",L. Allen,lucius-allen,26/9/1947,UCLA,USA,UCLA/USA,6-Feb,175.0,10,42,Guard,Inactive,N,1610612749,Bucks,MIL,bucks,Milwaukee,HISTADD_lucius_allen,1969.0,1978.0,N,Y,Y,1969,1,3,N,0
2124,Malik,Allen,Malik Allen,"Allen, Malik",M. Allen,malik-allen,27/6/1978,Villanova,USA,Villanova/USA,6-Oct,255.0,11,35,Forward,Inactive,N,1610612748,Heat,MIA,heat,Miami,malik_allen,2001.0,2010.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N,0
2754,Tony,Allen,Tony Allen,"Allen, Tony",T. Allen,tony-allen,11/1/1982,Oklahoma State,USA,Oklahoma State/USA,6-Apr,213.0,14,,Guard-Forward,Inactive,N,0,,,,,tony_allen,2004.0,2017.0,N,Y,Y,2004,1,25,N,0
76029,Odis,Allison,Odis Allison,"Allison, Odis",O. Allison,odis-allison,2/10/1949,UNLV,USA,UNLV/USA,6-Jun,195.0,1,22,Forward,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_odis_allison,1971.0,1971.0,N,Y,Y,1971,5,76,N,0
200984,Lance,Allred,Lance Allred,"Allred, Lance",L. Allred,lance-allred,2/2/1981,Weber State,USA,Weber State/USA,6-Nov,250.0,2,41,Center,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,lance_allred,2007.0,2007.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,0
76030,Darrell,Allums,Darrell Allums,"Allums, Darrell",D. Allums,darrell-allums,12/9/1958,UCLA,USA,UCLA/USA,6-Aug,220.0,1,32,Forward,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_darrell_allums,1980.0,1980.0,N,Y,Y,1980,5,103,N,0
201165,Morris,Almond,Morris Almond,"Almond, Morris",M. Almond,morris-almond,2/2/1985,Rice,USA,Rice/USA,6-Jun,225.0,4,21,Guard,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,morris_almond,2007.0,2011.0,Y,Y,Y,2007,1,25,N,0
308,Derrick,Alston,Derrick Alston,"Alston, Derrick",D. Alston,derrick-alston,20/8/1972,Duquesne,USA,Duquesne/USA,6-Nov,225.0,3,,Center,Inactive,N,0,,,,,derrick_alston,1994.0,1996.0,N,Y,Y,1994,2,33,N,0
1747,Rafer,Alston,Rafer Alston,"Alston, Rafer",R. Alston,rafer-alston,24/7/1976,Fresno State,USA,Fresno State/USA,6-Feb,175.0,11,11,Guard,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,rafer_alston,1999.0,2009.0,Y,Y,Y,1998,2,39,N,0
1824,Peter,Aluma,Peter Aluma,"Aluma, Peter",P. Aluma,peter-aluma,26/4/1973,Liberty,USA,Liberty/USA,6-Oct,260.0,1,,Center,Inactive,N,0,,,,,peter_aluma,1998.0,1998.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N,0
1630631,Jose,Alvarado,Jose Alvarado,"Alvarado, Jose",J. Alvarado,jose-alvarado,12/4/1998,Georgia Tech,USA,Georgia Tech/USA,6-0,179.0,2,15,Guard,Active,N,1610612740,Pelicans,NOP,pelicans,New Orleans,jose_alvarado,2021.0,2023.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,1
680,John,Amaechi,John Amaechi,"Amaechi, John",J. Amaechi,john-amaechi,26/11/1970,Penn State,United Kingdom,Penn State/United Kingdom,6-Oct,270.0,6,13,Forward-Center,Inactive,N,1610612753,Magic,ORL,magic,Orlando,john_amaechi,1995.0,2002.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N,0
200811,Lou,Amundson,Lou Amundson,"Amundson, Lou",L. Amundson,lou-amundson,7/12/1982,UNLV,USA,UNLV/USA,6-Sep,220.0,11,17,Forward,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,lou_amundson,2006.0,2015.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,0
2365,Chris,Andersen,Chris Andersen,"Andersen, Chris",C. Andersen,chris-andersen,7/7/1978,Blinn J.C.,USA,Blinn J.C./USA,6-Oct,245.0,15,,Forward-Center,Inactive,N,0,,,,,chris_andersen,2001.0,2016.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N,0
2431,David,Andersen,David Andersen,"Andersen, David",D. Andersen,david-andersen,23/6/1980,FC Barcelona,Australia,FC Barcelona/Australia,,,20,,,Inactive,N,0,,,,,david_andersen,2009.0,2017.0,N,Y,Y,2002,2,36,N,0
101187,Alan,Anderson,Alan Anderson,"Anderson, Alan",A. Anderson,alan-anderson,16/10/1982,Michigan State,USA,Michigan State/USA,6-Jun,220.0,9,9,Forward-Guard,Inactive,N,1610612751,Nets,BKN,nets,Brooklyn,alan_anderson,2005.0,2016.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,0
202079,Antonio,Anderson,Antonio Anderson,"Anderson, Antonio",A. Anderson,antonio-anderson,5/6/1985,Memphis,USA,Memphis/USA,6-Jun,215.0,2,,Guard,Inactive,N,0,,,,,antonio_anderson,2009.0,2009.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,0
76036,Daniel,Anderson,Daniel Anderson,"Anderson, Daniel",D. Anderson,daniel-anderson,1/1/1951,Southern California,USA,Southern California/USA,6-Feb,185.0,2,33,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_daniel_anderson,1974.0,1975.0,N,Y,Y,1974,6,92,N,0
1507,Derek,Anderson,Derek Anderson,"Anderson, Derek",D. Anderson,derek-anderson,18/7/1974,Kentucky,USA,Kentucky/USA,6-May,195.0,12,1,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,derek_anderson,1997.0,2007.0,N,Y,Y,1997,1,13,N,0
76037,Dwight,Anderson,Dwight Anderson,"Anderson, Dwight",D. Anderson,dwight-anderson,28/12/1960,Southern California,USA,Southern California/USA,6-Mar,185.0,1,20,Guard,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,HISTADD_dwight_anderson,1982.0,1982.0,N,Y,Y,1982,2,41,N,0
944,Eric,Anderson,Eric Anderson,"Anderson, Eric",E. Anderson,eric-anderson,26/5/1970,Indiana,USA,Indiana/USA,6-Sep,220.0,2,42,Forward,Inactive,N,1610612752,Knicks,NYK,knicks,New York,eric_anderson,1992.0,1993.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N,0
246,Greg,Anderson,Greg Anderson,"Anderson, Greg",G. Anderson,greg-anderson,22/6/1964,Houston,USA,Houston/USA,6-Oct,250.0,10,0,Center-Forward,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,greg_anderson,1987.0,1997.0,N,Y,Y,1987,1,23,N,0
202341,James,Anderson,James Anderson,"Anderson, James",J. Anderson,james-anderson,25/3/1989,Oklahoma State,USA,Oklahoma State/USA,6-Jun,213.0,6,5,Guard-Forward,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,james_anderson,2010.0,2015.0,Y,Y,Y,2010,1,20,N,0
76040,Jerome,Anderson,Jerome Anderson,"Anderson, Jerome",J. Anderson,jerome-anderson,9/10/1953,West Virginia,USA,West Virginia/USA,6-May,195.0,2,21-23,Guard,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,HISTADD_jerome_anderson,1975.0,1976.0,N,Y,Y,1975,3,53,N,0
1626147,Justin,Anderson,Justin Anderson,"Anderson, Justin",J. Anderson,justin-anderson,19/11/1993,Virginia,USA,Virginia/USA,6-May,231.0,7,,Forward-Guard,Inactive,N,0,,,,,justin_anderson,2015.0,2021.0,Y,Y,Y,2015,1,21,N,0
72,Kenny,Anderson,Kenny Anderson,"Anderson, Kenny",K. Anderson,kenny-anderson,9/10/1970,Georgia Tech,USA,Georgia Tech/USA,6-Jan,168.0,14,,Guard,Inactive,N,0,,,,,kenny_anderson,1991.0,2004.0,N,Y,Y,1991,1,2,N,0
76041,Kim,Anderson,Kim Anderson,"Anderson, Kim",K. Anderson,kim-anderson,12/5/1955,Missouri,USA,Missouri/USA,6-Jul,200.0,1,42,Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_kim_anderson,1978.0,1978.0,N,Y,Y,1978,7,146,N,0
203937,Kyle,Anderson,Kyle Anderson,"Anderson, Kyle",K. Anderson,kyle-anderson,20/9/1993,UCLA,USA,UCLA/USA,6-Sep,230.0,9,5,Forward-Guard,Active,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,kyle_anderson,2014.0,2023.0,Y,Y,Y,2014,1,30,N,1
76042,Michael,Anderson,Michael Anderson,"Anderson, Michael",M. Anderson,michael-anderson,23/3/1966,Drexel,USA,Drexel/USA,5-Nov,184.0,1,10,Guard,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,HISTADD_michael_anderson,1988.0,1988.0,N,Y,Y,1988,3,73,N,0
76043,Mitchell,Anderson,Mitchell Anderson,"Anderson, Mitchell",M. Anderson,mitchell-anderson,23/9/1960,Bradley,USA,Bradley/USA,6-Aug,195.0,3,11,Forward,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,HISTADD_jj_anderson,1982.0,1984.0,N,Y,Y,1982,2,36,N,0
